kayttajaId,kayttajanIstuntoId,tiiminTaso,alustaTyyppi,laskuri_peliklikkaukset,laskuri_osumat,laskuri_ostot,avg_hinta
1142,5871,1,mobile,210,23,0,0
1848,5872,1,laptop,53,7,0,0
539,5873,1,desktop,32,4,0,0
962,5874,1,mobile,62,6,0,0
81,5875,1,laptop,83,9,0,0
2354,5876,1,mobile,64,8,0,0
514,5877,1,desktop,128,13,0,0
787,5878,1,laptop,66,4,0,0
1157,5879,1,laptop,36,1,0,0
2146,5880,1,other_device,46,7,1,2.00
390,5881,1,other_device,53,5,0,0
1085,5882,1,desktop,96,11,0,0
810,5883,1,laptop,90,8,0,0
1278,5884,1,desktop,97,13,0,0
93,5885,1,mobile,61,7,0,0
68,5886,1,laptop,27,1,0,0
935,5887,1,mobile,57,2,1,10.00
859,5888,1,laptop,93,13,0,0
165,5889,1,mobile,49,3,1,5.00
1433,5890,1,laptop,22,2,0,0
1381,5891,1,laptop,91,7,0,0
1538,5892,1,mobile,24,3,1,20.00
1544,5893,1,mobile,36,6,2,20.00
737,5894,1,desktop,41,3,0,0
1076,5895,1,mobile,35,5,0,0
1628,5896,1,laptop,67,9,0,0
576,5897,1,laptop,54,3,0,0
1099,5898,1,mobile,81,10,0,0
2348,5899,1,laptop,27,5,0,0
1243,5900,1,desktop,66,7,0,0
1028,5901,1,other_device,65,5,0,0
2103,5902,1,mobile,116,13,0,0
630,5903,1,mobile,50,6,0,0
437,5904,1,mobile,56,7,0,0
1215,5905,1,laptop,107,11,0,0
62,5906,1,laptop,117,8,0,0
1720,5907,1,mobile,20,3,0,0
856,5908,1,mobile,47,9,0,0
2218,5909,1,laptop,80,6,1,3.00
1162,5910,1,desktop,192,16,1,2.00
382,5911,1,mobile,34,6,0,0
1645,5912,1,peliluola,94,4,0,0
1436,5913,1,laptop,49,6,0,0
1821,5914,1,desktop,178,22,1,1.00
801,5915,1,mobile,82,7,0,0
1038,5916,1,laptop,214,21,0,0
2030,5917,1,desktop,75,9,0,0
184,5918,1,mobile,69,7,0,0
2133,5919,1,laptop,87,14,1,3.00
1027,5920,1,mobile,52,5,3,15.00
518,5921,1,other_device,121,16,1,1.00
306,5922,1,desktop,165,5,0,0
2212,5923,1,laptop,70,7,0,0
569,5924,1,mobile,120,11,0,0
2032,5925,1,desktop,68,5,0,0
478,5926,1,mobile,85,14,0,0
1684,5927,1,mobile,69,7,0,0
791,5928,1,mobile,215,18,0,0
174,5929,1,laptop,42,5,0,0
2029,5930,1,mobile,89,7,1,10.00
1610,5931,1,mobile,100,10,0,0
223,5932,1,laptop,70,8,0,0
1104,5933,1,mobile,34,2,0,0
2384,5934,1,desktop,41,5,1,1.00
412,5935,1,mobile,54,5,0,0
1688,5936,1,mobile,92,8,0,0
2157,5937,1,laptop,81,7,0,0
1155,5938,1,mobile,71,16,1,20.00
1071,5939,1,mobile,34,6,0,0
564,5940,1,other_device,34,3,1,1.00
97,5941,1,laptop,74,10,1,1.00
1229,5942,1,laptop,68,7,0,0
243,5943,1,other_device,52,6,0,0
2048,5944,1,mobile,178,23,0,0
253,5945,1,laptop,66,12,1,3.00
846,5946,1,mobile,28,5,0,0
108,5947,1,mobile,64,6,0,0
400,5948,1,mobile,56,4,0,0
1630,5949,1,mobile,71,10,0,0
934,5950,1,desktop,43,4,1,10.00
931,5951,1,desktop,87,12,0,0
841,5952,1,mobile,92,6,0,0
1665,5953,1,other_device,104,8,0,0
595,5954,1,mobile,65,7,0,0
2009,5955,1,mobile,27,4,1,5.00
1717,5956,1,mobile,44,3,0,0
1453,5957,1,mobile,31,0,0,0
2383,5958,1,laptop,128,13,0,0
639,5959,1,peliluola,202,25,0,0
1256,5960,1,mobile,55,7,0,0
1890,5961,1,laptop,53,10,0,0
2084,5962,1,mobile,41,6,0,0
244,5963,1,laptop,90,10,0,0
2040,5964,1,laptop,144,14,0,0
123,5965,1,laptop,46,6,0,0
160,5966,1,mobile,93,9,0,0
1782,5967,1,laptop,36,2,0,0
2127,5968,1,other_device,47,9,0,0
741,5969,1,laptop,77,13,0,0
947,5970,1,desktop,69,11,0,0
880,5971,1,laptop,70,7,0,0
1815,6088,1,mobile,272,24,1,3.00
864,6173,1,laptop,79,9,1,3.00
1498,6174,1,other_device,60,4,0,0
1307,6229,1,desktop,52,9,0,0
1457,6230,1,desktop,54,4,1,1.00
754,6231,1,laptop,646,54,1,3.00
2248,6344,1,other_device,59,7,0,0
1555,6377,1,mobile,96,16,0,0
1064,6401,1,desktop,35,1,0,0
662,6402,1,mobile,135,15,0,0
1576,6493,1,laptop,41,3,0,0
2285,6548,1,mobile,122,12,0,0
1510,6561,1,mobile,63,5,0,0
242,6585,1,mobile,23,2,0,0
1227,6586,1,laptop,64,6,0,0
1183,6663,1,other_device,143,11,0,0
2132,6836,1,mobile,35,3,0,0
1282,6837,1,laptop,95,11,0,0
1163,6928,1,laptop,24,2,0,0
2389,6929,1,laptop,66,6,0,0
1022,6993,1,desktop,8,1,2,3.00
12,7079,1,mobile,36,2,1,20.00
436,7104,1,laptop,597,52,0,0
1418,7105,1,other_device,693,64,0,0
2307,7132,1,mobile,701,64,0,0
1804,7150,1,mobile,22,1,1,10.00
1393,7188,1,other_device,15,3,0,0
367,7189,1,desktop,22,2,0,0
2353,7270,1,mobile,8,1,0,0
1615,7352,1,laptop,137,10,0,0
769,7371,1,laptop,2,0,0,0
1613,7372,1,mobile,10,3,0,0
1139,7401,1,laptop,18,2,0,0
1697,7503,1,mobile,2,0,0,0
624,7512,2,mobile,132,16,1,20.00
514,7513,2,desktop,139,15,0,0
2103,7514,2,mobile,154,15,0,0
518,7515,2,other_device,137,14,0,0
569,7516,2,mobile,122,11,0,0
2353,7517,2,mobile,153,10,0,0
1353,7518,2,laptop,52,5,0,0
1175,7519,2,mobile,197,18,0,0
673,7520,2,mobile,189,13,0,0
2314,7521,2,desktop,203,22,0,0
2383,7522,2,laptop,196,23,1,2.00
1277,7523,2,desktop,71,5,2,5.00
411,7524,2,mobile,70,4,0,0
1143,7525,2,laptop,70,13,1,3.00
1652,7526,2,laptop,66,7,1,3.00
1082,7527,2,mobile,56,5,0,0
21,7528,2,laptop,69,6,0,0
1300,7529,2,laptop,62,5,0,0
900,7530,2,other_device,63,6,0,0
2214,7531,2,desktop,53,6,0,0
2279,7532,2,mobile,46,2,0,0
371,7533,2,laptop,55,6,0,0
1027,7534,2,mobile,66,5,2,6.00
174,7535,2,laptop,53,5,0,0
937,7536,2,laptop,53,5,0,0
351,7537,2,desktop,38,9,0,0
1629,7538,2,mobile,70,12,0,0
1924,7539,2,mobile,46,8,0,0
2222,7540,2,mobile,52,11,2,7.50
1260,7541,2,mobile,42,6,1,3.00
222,7542,2,mobile,53,5,0,0
303,7543,2,laptop,46,7,0,0
1848,7544,2,laptop,59,9,0,0
390,7545,2,other_device,47,7,2,1.00
1155,7546,2,mobile,53,2,2,12.50
1623,7547,2,mobile,134,11,0,0
1362,7548,2,mobile,116,13,0,0
1072,7549,2,mobile,144,22,2,15.00
1513,7550,2,peliluola,125,11,0,0
1555,7551,2,mobile,158,11,1,20.00
1658,7552,2,mobile,58,5,0,0
849,7553,2,mobile,37,5,0,0
121,7554,2,laptop,54,5,0,0
1034,7555,2,mobile,46,5,0,0
970,7556,2,mobile,49,8,1,5.00
1874,7557,2,peliluola,44,2,0,0
128,7558,2,mobile,49,4,0,0
374,7559,2,laptop,56,7,1,2.00
217,7560,2,peliluola,52,5,0,0
1205,7561,2,laptop,42,2,0,0
1958,7562,2,laptop,46,3,1,20.00
283,7563,2,desktop,48,7,0,0
538,7564,2,laptop,39,5,0,0
1275,7565,2,mobile,51,5,0,0
1076,7566,2,mobile,39,4,0,0
934,7567,2,desktop,44,6,0,0
1064,7568,2,desktop,39,2,1,1.00
453,7569,2,laptop,134,19,0,0
1145,7570,2,desktop,129,6,0,0
355,7571,2,mobile,137,14,2,5.00
1560,7572,2,laptop,112,11,0,0
1215,7573,2,laptop,117,21,0,0
1589,7574,2,mobile,32,6,0,0
342,7575,2,laptop,32,4,0,0
852,7576,2,laptop,27,5,0,0
30,7577,2,mobile,29,2,0,0
155,7578,2,laptop,49,4,0,0
1349,7579,2,mobile,34,4,0,0
76,7580,2,desktop,36,3,2,1.50
2149,7581,2,laptop,15,2,0,0
415,7582,2,mobile,27,4,0,0
204,7583,2,desktop,28,2,0,0
60,7584,2,mobile,35,4,0,0
844,7585,2,mobile,33,5,0,0
208,7586,2,mobile,18,2,0,0
157,7587,2,mobile,33,3,0,0
534,7588,2,laptop,31,2,0,0
90,7589,2,laptop,27,1,1,2.00
737,7590,2,desktop,30,4,0,0
2348,7591,2,laptop,39,3,0,0
1717,7592,2,mobile,26,4,0,0
1453,7593,2,mobile,34,5,0,0
1782,7594,2,laptop,32,5,2,11.50
1022,7595,2,desktop,43,5,2,2.00
1807,7596,2,mobile,180,24,1,20.00
1038,7597,2,laptop,171,17,0,0
791,7598,2,mobile,170,20,0,0
820,7599,2,laptop,41,5,1,2.00
221,7600,2,mobile,48,5,1,5.00
1065,7601,2,mobile,58,8,0,0
611,7602,2,mobile,66,5,0,0
1834,7603,2,laptop,66,5,0,0
1892,7604,2,other_device,59,8,1,2.00
471,7605,2,mobile,48,7,0,0
175,7606,2,desktop,63,4,0,0
1329,7607,2,laptop,54,6,0,0
856,7608,2,mobile,46,5,0,0
382,7609,2,mobile,55,7,1,5.00
2384,7610,2,desktop,55,6,0,0
1071,7611,2,mobile,52,5,0,0
242,7612,2,mobile,57,2,0,0
1465,7613,2,laptop,171,24,0,0
2194,7614,2,mobile,168,18,0,0
662,7615,2,mobile,163,21,0,0
1139,7616,2,laptop,179,18,0,0
2336,7617,2,desktop,262,28,0,0
1815,7618,2,mobile,267,30,0,0
1183,7619,2,other_device,271,23,0,0
2229,7620,2,mobile,58,3,1,20.00
2199,7621,2,laptop,57,5,0,0
2243,7622,2,laptop,43,7,0,0
807,7623,2,other_device,58,4,0,0
279,7624,2,desktop,55,5,0,0
868,7625,2,mobile,41,7,1,20.00
699,7626,2,peliluola,61,12,0,0
1224,7627,2,mobile,49,6,0,0
2146,7628,2,other_device,68,11,0,0
576,7629,2,laptop,44,5,0,0
400,7630,2,mobile,45,5,0,0
2127,7631,2,other_device,61,8,0,0
812,7632,2,laptop,78,8,0,0
445,7633,2,laptop,63,4,1,3.00
321,7634,2,desktop,70,8,0,0
127,7635,2,mobile,69,11,1,10.00
2161,7636,2,laptop,92,11,2,3.00
1351,7637,2,mobile,60,7,0,0
1731,7638,2,mobile,72,3,0,0
2178,7639,2,mobile,77,9,0,0
962,7640,2,mobile,68,8,0,0
108,7641,2,mobile,66,11,0,0
1073,7642,2,laptop,184,17,0,0
591,7643,2,desktop,180,14,0,0
210,7644,2,laptop,181,25,0,0
2040,7645,2,laptop,184,25,0,0
1926,7646,2,laptop,71,9,0,0
515,7647,2,mobile,73,9,0,0
1591,7648,2,mobile,70,10,0,0
2283,7649,2,laptop,66,7,0,0
827,7650,2,mobile,68,13,0,0
657,7651,2,laptop,88,8,0,0
2262,7652,2,laptop,71,9,0,0
935,7653,2,mobile,72,4,0,0
1099,7654,2,mobile,85,8,0,0
1890,7655,2,laptop,69,4,0,0
1485,7656,2,mobile,101,13,1,20.00
1318,7657,2,mobile,108,8,0,0
757,7658,2,laptop,109,12,0,0
810,7659,2,laptop,132,14,0,0
1278,7660,2,desktop,109,9,0,0
2030,7661,2,desktop,117,9,0,0
1393,7662,2,other_device,113,10,0,0
1863,7663,2,laptop,30,3,2,2.00
881,7664,2,mobile,36,5,1,20.00
1173,7665,2,mobile,34,5,0,0
2004,7666,2,mobile,41,5,0,0
1059,7667,2,laptop,49,4,0,0
1326,7668,2,mobile,45,4,0,0
2360,7669,2,laptop,4,1,0,0
2231,7670,2,mobile,48,4,0,0
181,7671,2,laptop,40,7,0,0
2139,7672,2,laptop,46,7,0,0
1740,7673,2,desktop,41,1,0,0
670,7674,2,mobile,52,6,0,0
539,7675,2,desktop,48,2,0,0
1433,7676,2,laptop,38,5,0,0
1538,7677,2,mobile,37,3,0,0
1104,7678,2,mobile,40,2,0,0
123,7679,2,laptop,44,7,0,0
769,7680,2,laptop,43,1,1,3.00
770,7681,2,mobile,64,8,0,0
782,7682,2,mobile,53,4,0,0
1042,7683,2,laptop,74,5,0,0
2379,7684,2,laptop,68,9,2,6.50
1026,7685,2,mobile,86,7,0,0
178,7686,2,mobile,65,14,2,15.00
1234,7687,2,laptop,67,4,1,3.00
165,7688,2,mobile,66,6,0,0
1436,7689,2,laptop,74,5,0,0
1229,7690,2,laptop,77,10,0,0
243,7691,2,other_device,62,3,1,1.00
1163,7692,2,laptop,73,6,0,0
1320,7693,2,mobile,141,15,0,0
2221,7694,2,mobile,141,19,0,0
306,7695,2,desktop,119,10,1,1.00
2285,7696,2,mobile,112,11,0,0
2389,7697,2,laptop,123,13,0,0
2355,7698,2,mobile,114,10,1,3.00
867,7699,2,mobile,114,9,0,0
1381,7700,2,laptop,129,10,0,0
801,7701,2,mobile,127,12,0,0
2133,7702,2,laptop,120,8,1,3.00
2029,7703,2,mobile,111,16,3,16.67
931,7704,2,desktop,134,16,0,0
744,7705,2,desktop,93,7,0,0
600,7706,2,mobile,98,12,0,0
511,7707,2,mobile,97,8,1,20.00
1471,7708,2,mobile,84,8,0,0
1085,7709,2,desktop,85,10,0,0
1645,7710,2,peliluola,117,12,1,2.00
841,7711,2,mobile,89,7,0,0
1510,7712,2,mobile,104,11,0,0
1227,7713,2,laptop,85,6,0,0
585,7714,2,mobile,115,10,0,0
83,7715,2,laptop,107,11,1,3.00
462,7716,2,laptop,87,15,0,0
1669,7717,2,mobile,95,9,0,0
212,7718,2,laptop,107,19,0,0
1844,7719,2,laptop,107,17,0,0
708,7720,2,mobile,31,3,0,0
1588,7721,2,laptop,39,1,1,3.00
1631,7722,2,desktop,35,4,0,0
28,7723,2,mobile,39,7,0,0
1567,7724,2,laptop,39,7,1,3.00
1997,7725,2,laptop,46,4,0,0
1029,7726,2,mobile,33,3,0,0
504,7727,2,mobile,40,6,0,0
101,7728,2,peliluola,36,2,0,0
1367,7729,2,desktop,35,8,0,0
1157,7730,2,laptop,35,1,1,3.00
68,7731,2,laptop,38,6,0,0
1544,7732,2,mobile,36,6,0,0
1720,7733,2,mobile,37,8,0,0
564,7734,2,other_device,21,2,1,1.00
846,7735,2,mobile,41,5,0,0
2009,7736,2,mobile,32,2,1,20.00
2084,7737,2,mobile,38,6,0,0
1559,7738,2,laptop,107,12,0,0
1315,7739,2,desktop,123,12,2,5.50
2028,7740,2,mobile,141,16,0,0
12,7741,2,mobile,110,12,0,0
1664,7742,2,desktop,219,20,0,0
1162,7743,2,desktop,199,28,1,10.00
639,7744,2,peliluola,213,18,0,0
982,7745,2,mobile,123,10,0,0
142,7746,2,mobile,19,2,0,0
1516,7747,2,desktop,139,17,1,1.00
859,7748,2,laptop,125,15,0,0
1610,7749,2,mobile,150,18,0,0
1665,7750,2,other_device,135,10,0,0
292,7751,2,desktop,134,19,0,0
899,7752,2,desktop,140,15,0,0
1613,7753,2,mobile,146,11,0,0
1697,7754,2,mobile,157,22,2,15.00
1370,7755,2,mobile,93,9,1,20.00
489,7756,2,mobile,101,7,0,0
422,7757,2,laptop,100,18,0,0
1856,7758,2,other_device,112,10,1,1.00
1264,7759,2,other_device,103,18,1,1.00
2354,7760,2,mobile,75,2,0,0
93,7761,2,mobile,93,10,0,0
1307,7762,2,desktop,94,7,2,1.50
872,7763,2,mobile,74,11,0,0
1270,7764,2,mobile,69,7,0,0
62,7765,2,laptop,69,5,0,0
478,7766,2,mobile,89,8,0,0
1688,7767,2,mobile,75,13,0,0
160,7768,2,mobile,83,8,0,0
2132,7769,2,mobile,67,7,1,20.00
367,7770,2,desktop,83,12,2,1.00
25,7771,2,peliluola,104,10,0,0
1525,7772,2,mobile,97,9,2,7.50
1790,7773,2,laptop,113,8,0,0
1473,7774,2,mobile,104,7,0,0
1429,7775,2,mobile,98,5,0,0
787,7776,2,laptop,115,11,0,0
223,7777,2,laptop,132,15,0,0
253,7778,2,laptop,110,7,1,3.00
487,7779,2,mobile,68,7,0,0
1191,7780,2,mobile,84,7,0,0
343,7781,2,desktop,90,8,0,0
751,7782,2,laptop,90,7,0,0
706,7783,2,mobile,76,9,0,0
1304,7784,2,peliluola,90,12,0,0
710,7785,2,laptop,89,11,0,0
595,7786,2,mobile,71,8,0,0
1457,7787,2,desktop,88,7,1,1.00
2248,7788,2,other_device,72,5,0,0
1769,7789,2,mobile,270,28,0,0
1821,7790,2,desktop,235,30,1,1.00
2048,7791,2,mobile,217,23,0,0
344,7792,2,mobile,89,6,0,0
1928,7793,2,laptop,93,6,0,0
2053,7794,2,laptop,97,12,0,0
1214,7795,2,other_device,95,11,2,1.00
2051,7796,2,mobile,99,12,0,0
1628,7797,2,laptop,95,9,0,0
2157,7798,2,laptop,90,12,0,0
1035,7799,2,laptop,87,11,0,0
1404,7800,2,peliluola,75,4,1,10.00
2382,7801,2,laptop,95,17,0,0
1430,7802,2,mobile,88,9,0,0
2218,7803,2,laptop,84,5,0,0
244,7804,2,laptop,101,14,1,3.00
1576,7805,2,laptop,80,13,0,0
1900,7806,2,desktop,67,9,0,0
309,7807,2,desktop,57,7,1,1.00
1387,7808,2,laptop,70,10,1,2.00
1742,7809,2,laptop,76,5,0,0
2359,7810,2,mobile,62,6,0,0
1501,7811,2,laptop,84,12,0,0
81,7812,2,laptop,74,11,0,0
864,7813,2,laptop,83,13,0,0
2203,7814,2,laptop,103,13,0,0
1368,7815,2,mobile,110,7,0,0
845,7816,2,laptop,104,11,0,0
1057,7817,2,other_device,94,15,0,0
456,7818,2,laptop,91,12,0,0
2296,7819,2,peliluola,23,3,0,0
1243,7820,2,desktop,107,12,0,0
1028,7821,2,other_device,92,5,0,0
2333,7822,2,laptop,228,29,0,0
1972,7823,2,peliluola,217,28,0,0
2177,7824,2,mobile,201,23,1,20.00
1142,7825,2,mobile,189,23,0,0
1282,7826,2,laptop,168,12,0,0
1966,7827,2,mobile,80,7,0,0
1535,7828,2,mobile,99,18,0,0
239,7829,2,mobile,110,8,0,0
1206,7830,2,laptop,89,10,0,0
352,7831,2,mobile,86,11,0,0
896,7832,2,desktop,107,13,0,0
741,7833,2,laptop,106,8,0,0
880,7834,2,laptop,89,6,0,0
819,7835,2,mobile,38,2,0,0
1756,7836,2,laptop,57,11,0,0
2120,7837,2,mobile,57,6,0,0
1640,7838,2,mobile,62,11,1,10.00
209,7839,2,peliluola,56,10,0,0
649,7840,2,other_device,57,4,0,0
630,7841,2,mobile,54,8,0,0
437,7842,2,mobile,55,7,0,0
412,7843,2,mobile,49,7,0,0
1256,7844,2,mobile,57,8,0,0
2368,7845,2,mobile,90,8,0,0
